Adivina Pais,ale,2022-11-16T11:41:23.748700500,2022-11-16T11:41:29.967838,0,true
Adivina Pais,ale,2022-11-16T11:41:42.511686500,2022-11-16T11:41:46.518947600,0,true
Tic Tac Toe,deivid,2022-11-16T11:44:54.872509700,2022-11-16T11:45:03.664949200,30,true
Adivina Pais,deivid,2022-11-16T11:45:06.727211500,2022-11-16T11:45:14.671055400,0,true
Tic Tac Toe,deivid,2022-11-16T12:51:25.567561900,2022-11-16T12:51:29.384056200,10,true
Tic Tac Toe,deivid,2022-11-16T13:00:41.477828100,2022-11-16T13:00:45.073458500,10,true
Adivina Pais,ale,2022-11-16T13:48:53.012411500,2022-11-16T13:49:09.179572100,10,true
Tic Tac Toe,ale,2022-11-16T13:49:24.933196,2022-11-16T13:49:37.138936200,40,true
Adivina Pais,deivid,2022-11-16T14:44:47.157823500,2022-11-16T14:45:27.563228400,30,true
Tic Tac Toe,deivid,2022-11-16T15:29:29.410808100,2022-11-16T15:29:38.445408400,20,true
Tic Tac Toe,ale,2022-11-16T15:30:34.719210200,2022-11-16T15:30:52.676244500,20,true
Tic Tac Toe,ale,2022-11-16T15:32:26.559154600,2022-11-16T15:32:48.197954200,45,true
Tic Tac Toe,ale,2022-11-16T18:07:17.004634200,2022-11-16T18:07:27.244308600,20,true
Adivina Pais,ale,2022-11-16T18:07:33.201802500,2022-11-16T18:07:46.960226400,10,true
Adivina Pais,deivid,2022-11-16T18:26:37.352524700,2022-11-16T18:26:39.527533,0,false
Tic Tac Toe,ale,2022-11-16T18:31:34.710454600,2022-11-16T18:31:37.992739800,10,true
Tic Tac Toe,ale,2022-11-16T18:31:55.101984300,2022-11-16T18:31:57.322451800,0,true
Tic Tac Toe,ale,2022-11-16T18:32:31.061008200,2022-11-16T18:32:35.031002500,0,true
Tic Tac Toe,ale,2022-11-16T18:33:06.226162100,2022-11-16T18:33:08.207399500,0,false
Adivina Pais,ale,2022-11-16T18:33:28.614660300,2022-11-16T18:33:31.508603700,0,false
